Timestamp,Country,Age,Gov_Trust,Judiciary_Trust,Police_Trust,Media_Trust,EU_Trust,Democracy_Score,Election_Score
2026.05.10 17:33:10,Hungary,18,3,4,3,3,4,3,4
2026.05.10 17:51:34,Hungary,15,4,2,2,1,4,4,4
2026.05.10 17:53:45,Hungary,18,3,3,4,2,4,4,5
2026.05.10 17:54:32,Hungary,19,4,4,4,2,4,5,5
2026.05.10 17:55:35,Hungary,18,3,2,2,2,3,4,4
2026.05.10 17:58:46,Hungary,18,3,3,4,2,4,3,2
2026.05.10 17:58:57,Hungary,17,5,4,3,1,5,1,4
2026.05.10 17:59:04,Hungary,18,2,1,3,3,4,2,2
2026.05.10 17:59:52,Hungary,18,4,4,4,2,4,5,4
2026.05.10 18:01:44,Hungary,17,3,4,4,5,4,3,3
2026.05.10 18:02:47,Hungary,18,1,4,3,2,4,2,3
2026.05.10 18:03:56,Hungary,18,4,4,3,3,4,3,4
2026.05.10 18:05:54,Hungary,14,3,3,2,3,5,3,2
2026.05.10 18:07:27,Hungary,19,1,1,1,1,3,1,3
2026.05.10 18:07:43,Czechia,16,3,3,3,2,3,4,4
2026.05.10 18:09:15,Hungary,16,3,4,2,2,4,2,2
2026.05.10 18:09:39,Hungary,18,2,3,3,1,4,2,3
2026.05.10 18:09:44,Czechia,16,2,3,4,3,5,5,5
2026.05.10 18:09:57,Hungary,18,3,2,3,3,4,2,4
2026.05.10 18:10:40,Hungary,19,3,3,2,2,3,2,2
2026.05.10 18:11:26,Hungary,16,3,4,3,3,4,3,3
2026.05.10 18:13:43,Hungary,18,4,3,3,2,3,2,2
2026.05.10 18:14:11,Slovakia,16,2,3,3,2,5,3,4
2026.05.10 18:16:14,Hungary,17,3,2,2,3,4,2,2
2026.05.10 18:16:41,Hungary,16,1,4,3,2,3,2,2
2026.05.10 18:19:14,France,17,3,1,3,2,4,5,5
2026.05.10 18:22:03,Hungary,19,4,2,1,3,4,3,3
2026.05.10 18:22:07,Hungary,19,3,2,1,3,3,2,4
2026.05.10 18:22:50,Hungary,18,3,2,3,2,4,4,5
2026.05.10 18:23:55,Hungary,18,2,3,3,1,1,4,3
2026.05.10 18:24:28,Hungary,20,3,4,3,2,2,1,1
2026.05.10 18:27:29,Slovakia,15,2,2,1,2,1,1,2
2026.05.10 18:27:55,Hungary,16,3,3,2,4,4,4,4
2026.05.10 18:29:29,Slovakia,17,2,3,3,2,4,3,2
2026.05.10 18:30:57,Niger,19,1,1,1,1,1,1,1
2026.05.10 18:34:09,USA,18,1,4,3,1,1,3,1
2026.05.10 18:53:36,Hungary,18,2,1,2,1,3,3,3
2026.05.10 19:00:50,Hungary,20,3,4,3,3,5,3,1
2026.05.10 19:03:02,Hungary,16,2,1,4,2,3,2,1
2026.05.10 19:08:48,Hungary,18,3,2,1,1,4,2,3
2026.05.10 20:02:42,Hungary,19,4,4,3,2,5,5,5
2026.05.10 20:13:28,Hungary,20,4,3,4,5,3,3,5
2026.05.10 20:29:01,Hungary,18,3,3,2,2,4,4,3
2026.05.10 20:43:08,Hungary,20,3,4,4,2,4,3,3
2026.05.10 20:48:28,Hungary,18,1,1,1,1,1,1,3
2026.05.10 21:27:45,Hungary,17,4,3,3,3,3,4,3
2026.05.10 21:35:27,Hungary,17,4,4,3,3,4,5,5
2026.05.10 21:37:05,Hungary,20,2,3,2,3,4,2,3
2026.05.10 21:51:33,Slovakia,16,1,3,2,4,4,3,2
2026.05.10 22:10:57,France,17,3,4,3,1,4,4,5
2026.05.10 22:38:51,Hungary,19,3,3,2,4,4,3,3
2026.05.10 23:04:08,Hungary,19,3,3,1,2,4,1,2
2026.05.11 08:28:21,Hungary,20,4,4,4,3,4,5,5
2026.05.11 14:18:43,Germany,18,3,4,4,2,3,3,5
2026.05.11 17:01:55,Hungary,20,2,1,4,4,5,2,3
2026.05.11 21:56:01,Slovakia,16,2,4,4,3,4,3,2
2026.05.19 23:25:28,New Zealand,20,2,3,1,3,3,3,4
2026.05.19 23:30:39,USA,20,1,3,3,1,3,2,2
2026.05.19 23:34:52,Netherlands,20,2,4,3,3,3,3,4
2026.05.19 23:59:11,Romania,20,2,2,2,4,5,3,4
2026.05.20 00:56:20,Scotland,20,1,1,2,1,1,1,1
2026.05.20 01:58:35,Brazil,20,3,2,3,2,3,3,3
2026.05.20 03:38:40,Czechia,20,2,4,5,3,3,5,5
2026.05.20 11:21:34,Germany,19,2,4,3,3,4,4,5
